ID Loja;Nome da Loja;Quantidade Colaboradores;País
177;Loja Contoso New Haven ;17;Estados Unidos
178;Loja Contoso Litchfield County ;25;Estados Unidos
179;Loja Contoso New London ;26;Estados Unidos
180;Loja Contoso Norfolk ;26;Estados Unidos
181;Loja Contoso Virginia Beach ;19;Estados Unidos
182;Loja Contoso Winchester ;33;Estados Unidos
183;Loja Contoso Anchorage ;47;Estados Unidos
185;Loja Contoso Roanoke ;17;Estados Unidos
186;Loja Contoso Charlottesville ;25;Estados Unidos
187;Loja Contoso Fredericksburg ;26;Estados Unidos
188;Loja Contoso Martinsville ;19;Estados Unidos
189;Loja Contoso Greenville ;33;Estados Unidos
190;Loja Contoso Charleston ;47;Estados Unidos
191;Loja Contoso Annapolis ;22;Estados Unidos
192;Loja Contoso Baltimore ;17;Estados Unidos
193;Loja Contoso Howard ;25;Estados Unidos
194;Loja Contoso Ridgely ;25;Estados Unidos
195;Loja Contoso Queen Anne's County ;26;Estados Unidos
196;Loja Contoso Parkville ;19;Estados Unidos
197;Loja Contoso Back River ;33;Estados Unidos
198;Loja Contoso North Harford ;47;Estados Unidos
201;Loja Contoso London ;17;Reino Unido
202;Loja Contoso Edinburgh ;25;Reino Unido
203;Loja Contoso Glasgow ;26;Reino Unido
204;Loja Contoso York ;78;Reino Unido
205;Loja Contoso Carlisle ;23;Reino Unido
206;Loja Contoso Manchester ;11;Reino Unido
207;Loja Contoso Lancashire ;36;Reino Unido
208;Loja Contoso West Yorkshire ;90;Reino Unido
209;Loja Contoso Baildon ;32;Reino Unido
210;Loja Contoso Cheshire ;;Reino Unido
211;Loja Contoso Stockport ;34;Reino Unido
212;Loja Contoso Liverpool ;64;Reino Unido
213;Loja Contoso Knotty Ash ;24;Reino Unido
214;Loja Contoso Leeds ;25;Reino Unido
215;Loja Contoso Paris ;12;França
216;Loja Contoso Marseille ;13;França
217;Loja Contoso Lyon ;15;França
218;Loja Contoso Toulouse ;23;França
219;Loja Contoso Nice ;32;França
220;Loja Contoso Nantes ;11;França
221;Loja Contoso Strasbourg ;10;França
222;Loja Contoso Roma ;43;Itália
223;Loja Contoso Venezia ;11;Itália
224;Loja Contoso Firenze ;45;Itália
225;Loja Contoso Torino ;24;Itália
226;Loja Contoso Milan ;23;Itália
227;Loja Contoso Naples ;13;Estados Unidos
228;Loja Contoso Berlin ;13;Alemanha
230;Loja Contoso koln No.2 ;25;Alemanha
231;Loja Contoso Hofheim ;25;Alemanha
232;Loja Contoso koln No.1 ;35;Alemanha
233;Loja Contoso Landstuhl ;21;Alemanha
234;Loja Contoso Dusseldorf ;24;Alemanha
235;Loja Contoso Ramstein ;15;Alemanha
236;Loja Contoso Baumholder ;28;Alemanha
237;Loja Contoso Giebelstadt ;15;Alemanha
238;Loja Contoso obamberg ;29;Alemanha
239;Loja Contoso Munich ;18;Alemanha
240;Loja Contoso Amsterdam ;26;Holanda
241;Loja Contoso Copenhagen ;25;Dinamarca
242;Loja Contoso Stockholm ;33;Suécia
243;Loja Contoso Madrid ;35;Espanha
244;Loja Contoso Ljubljana ;36;Eslovênia
245;Loja Contoso Bucharest ;25;Romênia
246;Loja Contoso Berne ;53;Suíça
247;Loja Contoso Warsaw ;15;Polônia
248;Loja Contoso Valletta ;42;Malta
249;Loja Contoso Dublin ;55;Irlanda
250;Loja Contoso Athens ;15;Grécia
251;Loja Contoso Singapore ;27;Singapura
252;Loja Contoso Canberra ;28;Austrália
253;Loja Contoso Sydney No.1 ;20;Austrália
254;Loja Contoso Yerevan ;15;Armênia
255;Loja Contoso New Delhi ;29;Índia
256;Loja Contoso Mumbai ;35;Índia
257;Loja Contoso Kolkata ;35;Índia
258;Loja Contoso Thimphu No.1 ;35;Butão
259;Loja Contoso Hong Kong No.1 ;35;China
260;Loja Contoso Tehran No.1 ;35;Irã
261;Loja Contoso Damascus No.1 ;35;Síria
262;Loja Contoso Bangkok No.1 ;62;Tailândia
263;Loja Contoso Moscow  No.1 ;65;Rússia
264;Loja Contoso Ashgabat No.1 ;68;Turquemenistão
265;Loja Contoso Islamabad No.1 ;71;Paquistão
267;Loja Contoso Tokyo No.1 ;68;Japão
268;Loja Contoso Tokyo No.2 ;68;Japão
269;Loja Contoso Yokohama ;77;Japão
270;Loja Contoso Osaka No.1 ;80;Japão
271;Loja Contoso Nagoya ;50;Japão
272;Loja Contoso Sapporo ;50;Japão
273;Loja Contoso Kyoto ;50;Japão
274;Loja Contoso Seoul ;50;Coreia do Sul
275;Loja Contoso Busan ;50;Coreia do Sul
276;Loja Contoso Bishkek ;50;Quirguistão
277;Loja Contoso Shanghai No.1 ;95;China
278;Loja Contoso Urumqi ;50;China
279;Loja Contoso Beijing ;86;China
280;Loja Contoso Guangzhou ;131;China
281;Loja Contoso Shanghai No.2 ;95;China
282;Loja Contoso Ottawa No.1 ;95;Canadá
283;Loja Contoso Ottawa No.2 ;95;Canadá
284;Loja Contoso Toronto No.1 ;95;Canadá
285;Loja Contoso Toronto No.2 ;95;Canadá
286;Loja Contoso Toronto No.3 ;95;Canadá
287;Loja Contoso Montreal No.1 ;95;Canadá
288;Loja Contoso Montreal No.2 ;95;Canadá
289;Loja Contoso Vancouver  No.1 ;95;Canadá
290;Loja Contoso Vancouver  No.2 ;95;Canadá
291;Loja Contoso Calgary  ;95;Canadá
292;Loja Contoso Thimphu No.2 ;95;Butão
293;Loja Contoso Hong Kong No.2 ;95;China
294;Loja Contoso Tehran No.2 ;95;Irã
295;Loja Contoso Damascus No.2 ;95;Síria
296;Loja Contoso Bangkok No.2 ;95;Tailândia
297;Loja Contoso Moscow  No.2 ;95;Rússia
298;Loja Contoso Ashgabat  No.2 ;95;Turquemenistão
299;Loja Contoso Islamabad  No.2 ;95;Paquistão
300;Loja Contoso Sydney  No.2 ;95;Austrália
301;Loja Contoso Osaka No.2 ;95;Japão
302;Loja Contoso Taipei  ;95;Taiwan
303;Loja Contoso Lisbon ;95;Portugal
304;Loja Contoso Saint Petersburg ;95;Rússia
305;Loja Contoso Nizhny Novgorod ;95;Rússia
12;Loja Contoso North Bend ;19;Estados Unidos
19;Loja Contoso Cheney ;19;Estados Unidos
29;Loja Contoso Sedalia ;47;Estados Unidos
48;Loja Contoso Milwaukee No.2 ;25;Estados Unidos
62;Loja Contoso Stoughton ;17;Estados Unidos
84;Loja Contoso Humble ;22;Estados Unidos
112;Loja Contoso Key West ;19;Estados Unidos
119;Loja Contoso Buffalo ;19;Estados Unidos
129;Loja Contoso Trenton No.2 ;47;Estados Unidos
148;Loja Contoso Worcester No.2 ;25;Estados Unidos
162;Loja Contoso Pittsfield ;17;Estados Unidos
184;Loja Contoso Alexandria ;22;Estados Unidos
199;Loja Contoso North America Online ;325;Estados Unidos
200;Loja Contoso Catalog ;120;Estados Unidos
306;Loja Contoso Europe Online ;7;Alemanha
307;Loja Contoso Asia Online ;8;China
308;Loja Contoso North America Reseller;15;Estados Unidos
309;Loja Contoso Europe Reseller;12;França
310;Loja Contoso Asia Reseller;17;China
